
HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
2479,          , 48434,     ,         ,06 43 38.7,+03 55 56, 5.90,-0.02,  B0III             ,*
2480, 28    Gem, 48450,     , 3188    ,06 44 45.5,+28 58 15, 5.44, 1.45,  K4III             ,
2481,          , 48501, 5377, 3181    ,06 42 45.8,-22 26 57, 6.13, 0.34,  F0                ,*
2482,          , 48543,     ,         ,06 42 16.4,-38 23 55, 6.29, 0.34,  A3V+F/G           ,*
2483, 56Psi5Aur, 48682, 5425,         ,06 46 44.3,+43 34 39, 5.25, 0.56,  G0V               ,*
2484, 31Xi  Gem, 48737,     , 3193    ,06 45 17.4,+12 53 44, 3.36, 0.43,  F5III             ,*
2485,          , 48767, 5436, 3202    ,06 48 12.9,+55 42 16, 6.33,     , dF6                ,*
2486,          , 48766, 5436, 3202    ,06 48 12.3,+55 42 16, 6.28, 0.47, dF5                ,*
2487, 57Psi6Aur, 48781,     ,         ,06 47 39.6,+48 47 22, 5.22, 1.12,  K0III             ,
2488,          , 48797,     ,         ,06 43 23.3,-39 11 36, 6.30, 0.26,  A8:mDel Del       ,*
2489, 32    Gem, 48843,     , 3197    ,06 45 54.2,+12 41 37, 6.46,     ,  A9III             ,
2490, 42    Cam, 48879,     ,         ,06 50 57.1,+67 34 19, 5.14,-0.17,  B4IV              ,
2491,  9Alp CMa, 48915, 5423,         ,06 45 08.9,-16 42 58,-1.46, 0.00,  A1Vm              ,*
2492, 10    CMa, 48917,     ,FT CMa   ,06 44 28.4,-31 04 14, 5.20,-0.12,  B2IIIe            ,*
2493,          , 48938,     ,         ,06 44 51.9,-27 20 29, 6.45, 0.54,  G2V               ,
2494, 16    Mon, 48977,     ,         ,06 46 32.4,+08 35 14, 5.93,-0.17,  B2.5V             ,*
2495,          , 49001,     ,         ,06 45 23.3,-23 27 43, 6.05, 1.20,  K0                ,
2496,  NGC 2281,      ,     ,         ,          ,         ,     ,     ,                    ,*
2497,          , 49028,     ,         ,06 45 02.4,-30 35 10, 6.54,-0.11,  B8IV              ,*
2498,          , 49048,     ,         ,06 45 59.3,-14 47 46, 5.32, 0.07,  A2V               ,
2499,          , 49059, 5447,         ,06 47 23.5,+18 11 36, 6.20, 0.07,  A2V               ,*
2500,          , 49095,     ,         ,06 45 22.8,-31 47 37, 5.92, 0.48,  F6V               ,
2501,          , 49131,     ,HP CMa   ,06 45 31.3,-30 56 56, 5.80,-0.19,  B2III             ,*
2502,          , 49147,     ,         ,06 46 39.0,-10 06 26, 5.66,-0.05,  B9.5V             ,
2503, 17    Mon, 49161,     ,         ,06 47 19.8,+08 02 14, 4.77, 1.40,  K4III             ,
2504, 11    CMa, 49229,     ,         ,06 46 51.1,-14 25 33, 5.29,-0.04,  B9III             ,
2505,          , 49268,     ,         ,06 40 57.8,-71 46 32, 6.51, 1.11,  K1IIICNII         ,
2506, 18    Mon, 49293,     ,         ,06 47 51.6,+02 24 44, 4.47, 1.11,  K0+IIIaBa0.2      ,*
2507,          , 49319,     ,         ,06 46 03.3,-39 32 24, 6.62,-0.13,  B6Vnne            ,*
2508,          , 49331,     , 3213    ,06 47 37.1,-08 59 54, 5.07, 1.80,  M1+Ib-IIa         ,*
2509, 12    CMa, 49333,     ,HK CMa   ,06 47 01.5,-21 00 56, 6.08,-0.19,  B7IIIn            ,*
2510,          , 49336,     ,V339 Pup ,06 46 12.1,-37 46 32, 6.21,-0.13,  B4Vne             ,*
2511, 43    Cam, 49340,     ,         ,06 53 42.2,+68 53 18, 5.12,-0.13,  B7III             ,
2512,          , 49380,     ,IS Gem   ,06 49 41.3,+32 36 24, 5.71, 1.29,  K3II              ,*
2513,          , 49396,     ,         ,06 45 26.1,-52 12 04, 6.57, 1.08,  G6Iab             ,
2514,          , 49434,     ,         ,06 48 19.0,-01 19 09, 5.75, 0.28,  F1V               ,
2515,          , 49517,     ,         ,06 45 53.7,-52 24 36, 5.80, 1.53,  K3III             ,
2516, 58Psi7Aur, 49520,     ,         ,06 50 45.9,+41 46 53, 5.02, 1.27,  K3III             ,*
2517,          , 49567,     ,         ,06 49 03.7,+01 00 07, 6.15,-0.13,  B3II-III          ,
2518,          , 49591,     ,         ,06 47 21.4,-37 55 47, 5.26,-0.08,  B9IV              ,
2519, 33    Gem, 49606,     ,OV Gem   ,06 49 49.8,+16 12 10, 5.85,-0.13,  B7III             ,*
2520, 14    Lyn, 49618, 5514,         ,06 53 05.1,+59 26 55, 5.33, 0.65,  G4III+A2V         ,*
2521,          , 49643,     ,         ,06 49 16.4,-02 16 19, 5.74,-0.10,  B8IIIn            ,
2522,          , 49662, 5487,         ,06 48 57.8,-15 08 41, 5.39,-0.10,  B6V               ,
2523,          , 49689,     ,         ,06 46 52.8,-51 15 57, 5.40, 1.34,  K1II-III+G:p      ,
2524,          , 49705,     ,         ,06 46 41.5,-54 41 41, 6.46, 0.86,  G6III             ,
2525, 35    Gem, 49738,     ,         ,06 50 25.5,+13 24 48, 5.65, 1.34, gK3                ,
2526,          , 49877,     , 3220    ,06 47 18.7,-55 32 24, 5.61, 1.52,  K5III             ,*
2527,          , 49878,     ,         ,07 00 04.0,+76 58 39, 4.55, 1.36,  K4III             ,*
2528,          , 49891, 5498,         ,06 49 44.0,-24 04 33, 6.33, 0.04,  A1                ,*
2529, 36    Gem, 49908, 5511,         ,06 51 33.0,+21 45 40, 5.27,-0.02,  A2V               ,*
2530,          , 49933, 5505,         ,06 50 49.9,-00 32 27, 5.77, 0.39,  F2V               ,*
2531,          , 49947,     ,         ,06 43 36.8,-73 07 05, 6.37, 0.96,  G8III             ,
2532,          , 49949,     ,         ,06 53 07.6,+44 50 22, 6.26, 0.21,  A8Vn              ,
2533,          , 49968,     ,         ,06 52 00.0,+23 36 06, 5.65, 1.45,  K5III             ,*
2534,          , 49976,     ,V592 Mon ,06 50 42.3,-08 02 28, 6.29, 0.00,  A2pSrCrEu         ,*
2535,          , 49980,     ,         ,06 50 21.9,-17 05 02, 5.79, 1.44,  K0                ,
2536,          , 50002,     ,         ,06 44 56.1,-70 26 02, 6.11, 1.33,  K3III             ,
2537,          , 50012,     , 3234    ,06 50 06.0,-27 20 02, 7.04,-0.18,  B2IV              ,*
2538, 13Kap CMa, 50013,     ,Kap CMa  ,06 49 50.5,-32 30 31, 3.96,-0.23,  B1.5IVne          ,*
2539, 59    Aur, 50018, 5534,OX Aur   ,06 53 01.5,+38 52 09, 6.12, 0.37,  F2VDel Del        ,*
2540, 34The Gem, 50019, 5532,         ,06 52 47.3,+33 57 40, 3.60, 0.10,  A3III             ,
2541, 60    Aur, 50037,     ,         ,06 53 13.4,+38 26 17, 6.30, 0.49, dF5                ,*
2542,          , 50056,     , 3250    ,06 53 03.4,+35 47 19, 6.01, 1.45,  K3III:            ,
2543,          , 50062,     ,         ,06 51 39.3,+03 02 30, 6.38, 0.04,  A2V s             ,
2544,          , 50093,     ,         ,06 50 36.9,-25 46 41, 6.33,-0.18,  B2V               ,
2545,          , 50123,     ,         ,06 50 23.3,-31 42 22, 5.70, 0.14,  B6Vnpe            ,*
2546,          , 50196,     , 3236    ,06 49 57.8,-45 27 00, 6.55, 1.51,  K5-M0III          ,*
2547, 61Psi8Aur, 50204,     ,         ,06 53 57.0,+38 30 18, 6.48,-0.05,  B9.5pSi           ,*
2548,          , 50223,     ,         ,06 49 54.6,-46 36 53, 5.14, 0.45,  F5V               ,*
2549,          , 50235,     ,         ,06 50 52.4,-34 22 02, 4.99, 1.38,  K5III             ,
2550,   Alp Pic, 50241,     ,         ,06 48 11.4,-61 56 29, 3.27, 0.21,  A7IV              ,
2551,          , 50277,     ,         ,06 52 49.4,+08 22 49, 5.77, 0.26,  F0Vn              ,
2552,          , 50282,     ,         ,06 52 22.9,-05 18 58, 6.30, 0.99,  K0                ,
2553,   Tau Pup, 50310,     ,         ,06 49 56.2,-50 36 53, 2.93, 1.20,  K1III             ,*
2554,          , 50337,     ,V415 Car ,06 49 51.3,-53 37 20, 4.40, 0.92,  G6II              ,*
2555,          , 50371,     ,         ,06 53 22.5,+10 59 47, 6.24, 0.97,  K0III             ,
2556,          , 50384,     ,         ,06 55 15.2,+45 49 35, 6.34, 0.94,  K0III-IV          ,*
2557,          , 50420,     ,V352 Aur ,06 55 14.7,+43 54 36, 6.13, 0.32,  A9III             ,*
2558,          , 50445,     ,         ,06 51 42.3,-36 13 49, 5.96, 0.18,  A3V               ,
2559,   Zet Men, 50506,     ,         ,06 40 02.7,-80 48 49, 5.64, 0.20,  A5III             ,
2560, 15    Lyn, 50522, 5586,         ,06 57 16.5,+58 25 21, 4.35, 0.85,  G5III-IV          ,*
2561,          , 50551,     , 3280    ,06 57 13.2,+57 33 48, 6.05, 1.49,  K3III             ,
2562,          , 50571,     ,         ,06 50 01.1,-60 14 57, 6.11, 0.46,  F7III-IV          ,
2563,          , 50621,     ,         ,06 51 32.8,-48 17 33, 6.42, 1.21,  K2-3III           ,
2564, 38    Gem, 50635, 5559, 3266    ,06 54 38.7,+13 10 40, 4.65, 0.30,  F0Vp              ,*
2565,          , 50644,     ,         ,06 53 18.8,-19 01 58, 5.64, 0.28,  F1V               ,
2566,          , 50643,     ,         ,06 53 21.7,-18 56 00, 6.14, 0.15,  A5m               ,
2567,          , 50648, 5548, 3259    ,06 53 00.1,-26 57 27, 6.40, 1.53,  M4III             ,*
2568,   Psi9Aur, 50658,     ,Var?     ,06 56 32.3,+46 16 27, 5.87,-0.06,  B8IIIe            ,*
2569, 37    Gem, 50692,     ,         ,06 55 18.6,+25 22 32, 5.73, 0.57,  G0V               ,
2570,          , 50700, 5557,         ,06 54 08.5,-05 51 09, 6.41, 0.17,  A6Vn              ,
2571, 15    CMa, 50707,     ,EY CMa   ,06 53 32.9,-20 13 27, 4.83,-0.21,  B1IV              ,*
2572,          , 50747,     ,         ,06 54 24.6,-01 07 37, 5.45, 0.18,  A4IV              ,*
2573,          , 50763,     ,         ,06 56 56.0,+46 42 18, 5.86, 1.08, gK0                ,
2574, 14The CMa, 50778,     ,         ,06 54 11.4,-12 02 19, 4.07, 1.43,  K4III             ,*
2575,          , 50785,     ,         ,06 52 39.7,-42 30 16, 6.52, 0.42,  F5II-III          ,
2576,          , 50806,     ,         ,06 53 33.9,-28 32 23, 6.04, 0.71,  G5IV              ,*
2577,          , 50820,     , 3271    ,06 54 42.1,-01 45 23, 6.21, 0.56,  B3IVe+K2II        ,*
2578,          , 50853,     ,         ,06 53 55.3,-24 32 21, 6.21, 0.01,  A1                ,*
2579,          , 50860,     ,         ,06 52 47.1,-43 58 33, 6.46,-0.10,  B8V               ,
2580, 16Omi1CMa, 50877,     ,Omi1 CMa ,06 54 07.9,-24 11 02, 3.87, 1.73,  K2+Iab            ,*
2581,          , 50885,     ,         ,07 01 21.5,+70 48 29, 5.68, 1.33, gK4                ,
2582,          , 50890,     ,         ,06 54 58.8,-02 48 13, 6.04, 1.10, gG6                ,
2583,          , 50896,     ,EZ CMa   ,06 54 13.0,-23 55 42, 6.91,-0.28,  WN5-B             ,*
2584,          , 50931,     ,         ,06 55 34.6,+08 19 29, 6.29, 0.04,  A0V               ,
2585, 16    Lyn, 50973,     , 3293    ,06 57 37.1,+45 05 39, 4.90, 0.03,  A2Vn              ,*
2586,          , 51000,     , 3289    ,06 57 00.5,+33 40 52, 5.89, 0.88,  G5III             ,
2587,          , 51043,     ,         ,06 52 46.9,-54 05 24, 6.57, 1.08,  G5Ib-II           ,
2588, 17    CMa, 51055, 5585,         ,06 55 02.7,-20 24 17, 5.74, 0.08,  A3IV              ,*
2589,          , 51104,     ,         ,06 56 25.8,+09 57 23, 5.92,-0.08,  B8Vn              ,
2590, 19Pi  CMa, 51199, 5602, 3285    ,06 55 37.4,-20 08 11, 4.68, 0.37, gF2                ,*
2591,          , 51208,     ,NP Pup   ,06 54 26.7,-42 21 56, 6.32, 2.24,  C3II              ,*
2592,          , 51210,     ,         ,06 52 45.4,-59 20 28, 6.41, 0.18,  A3m               ,*
2593, 18Mu  CMa, 51250, 5605,         ,06 56 06.6,-14 02 37, 5.00, 1.18,  G5III+A2          ,*
2594,          , 51266,     ,         ,06 54 02.3,-50 36 42, 6.26, 0.99,  K0-1III           ,
2595,          , 51283,     ,         ,06 55 46.8,-22 56 29, 5.30,-0.18,  B3II-III          ,*
2596, 20Iot CMa, 51309,     ,Iot CMa  ,06 56 08.2,-17 03 15, 4.37,-0.07,  B3II              ,*
2597,          , 51330,     ,         ,06 57 25.7,+11 54 27, 6.27, 0.34,  F2Ib-II           ,
2598,          , 51411,     ,         ,06 55 54.8,-31 47 24, 6.36,     ,  B3V               ,*
2599,          , 51424,     ,         ,06 57 00.1,-08 10 44, 6.34, 0.64,  K0II-III+A2V      ,
2600, 62    Aur, 51440,     ,         ,06 59 02.8,+38 03 08, 6.00, 1.23,  K2III             ,
2601, 39    Gem, 51530,     ,         ,06 58 47.4,+26 04 52, 6.10, 0.46,  F7V               ,
2602,   Iot Vol, 51557,     ,         ,06 51 27.0,-70 57 48, 5.40,-0.11,  B7IV              ,*
2603,          , 51630,     ,HH CMa   ,06 57 14.8,-22 12 12, 6.61,-0.19,  B1-2III:          ,*
2604,          , 51682,     ,         ,06 56 45.7,-35 20 30, 6.29, 1.29,  K2III             ,
2605, 40    Gem, 51688,     ,         ,06 59 27.9,+25 54 51, 6.40,-0.11,  B8III             ,*
2606,          , 51693,     ,         ,06 58 39.0,+07 37 19, 6.27, 0.11,  A3V               ,
2607,          , 51733, 5629,         ,06 57 33.9,-24 37 50, 5.46, 0.36, dF0                ,
2608,          , 51799,     ,         ,06 56 16.0,-48 43 16, 4.95, 1.69,  M1III             ,
2609,          , 51802,     ,OV Cep   ,07 40 30.5,+87 01 12, 5.07, 1.63,  M2IIIab           ,*
2610,          , 51814, 5648,         ,06 58 57.0,+03 36 08, 5.97, 1.06,  G8III             ,
2611,          , 51823,     ,         ,06 57 42.4,-27 32 15, 6.23,-0.14,  B2.5V             ,*
2612,          , 51825,     ,         ,06 57 17.6,-35 30 27, 6.23, 0.46,  F8IV-V            ,*
2613,          , 51892,     ,         ,06 59 20.1,+07 19 01, 6.35,-0.11,  B7III             ,
2614,          , 51925,     , 3316    ,06 58 07.6,-27 09 53, 6.37,-0.19,  B2.5III           ,*
2615, 41    Gem, 52005,     ,         ,07 00 15.8,+16 04 44, 5.68, 1.66,  K3Ib              ,
2616,          , 52018, 5651,         ,06 58 35.9,-25 24 50, 5.59,-0.16,  B3V               ,*
2617,          , 52030,     ,         ,07 05 51.8,+70 43 55, 6.50,     ,  K0III             ,
2618, 21Eps CMa, 52089, 5654,         ,06 58 37.5,-28 58 20, 1.50,-0.21,  B2II              ,*
2619,          , 52092,     ,         ,06 58 25.1,-34 06 42, 5.06,-0.16,  B3V               ,
2620,          , 52100, 5680,         ,07 01 17.2,+32 24 52, 6.59, 0.27,  A9IV              ,*
2621,          , 52140,     ,         ,06 58 43.8,-30 59 52, 6.42,-0.14,  B3V               ,*
2622,          , 52265,     ,         ,07 00 18.0,-05 22 01, 6.30, 0.57,  G0III-IV          ,
2623,          , 52273,     ,         ,06 59 39.3,-21 36 12, 6.26,-0.15,  B2-3IV-V:         ,
2624,          , 52312,     ,         ,07 00 23.7,-08 24 25, 5.96,-0.08,  B9III             ,
2625,          , 52348,     ,         ,07 00 08.1,-20 09 32, 6.31,-0.15,  B4III             ,
2626,          , 52362,     ,         ,06 58 41.8,-45 46 05, 6.22, 0.00,  A0V               ,*
2627,          , 52382,     ,         ,07 00 39.3,-09 12 11, 6.49, 0.21,  B1Ib              ,*
2628,          , 52437, 5687,FU CMa   ,07 00 19.3,-22 07 10, 6.53,-0.17,  B2IV-Vne          ,*
2629,          , 52479,     ,         ,07 01 41.4,+04 49 05, 6.63, 0.06,  A3V s             ,
2630, 42Ome Gem, 52497,     ,Ome Gem  ,07 02 24.8,+24 12 55, 5.18, 0.94,  G5IIa-Ib          ,*
2631,          , 52554,     ,NP Gem   ,07 02 25.5,+17 45 20, 5.94, 1.63,  M1                ,*
2632,          , 52556,     ,         ,07 02 17.4,+15 20 10, 5.74,     , gK1                ,
2633,          , 52559,     ,         ,07 01 55.0,+05 33 27, 6.59,-0.02,  B2IV-V            ,*
2634,          , 52603,     ,         ,06 58 39.6,-55 43 46, 6.27, 1.16,  K2III             ,
2635,          , 52609,     ,         ,07 02 33.5,+16 40 27, 5.82, 1.68,  M2III             ,
2636,          , 52611,     ,         ,07 01 52.9,-01 20 44, 6.17, 1.28,  G5II              ,
2637,          , 52619,     ,         ,07 00 42.6,-28 29 22, 6.27, 0.45,  F5V               ,
2638,          , 52622,     ,         ,06 58 36.2,-56 23 41, 6.45, 0.39,  F2II              ,
2639,          , 52666,     , 3341    ,07 01 56.4,-05 43 20, 5.20, 1.68,  M2III             ,
2640,          , 52670,     ,         ,07 01 05.9,-25 12 55, 5.63,-0.17,  B2V               ,
2641,          , 52703,     ,         ,07 00 49.8,-33 27 55, 6.40, 1.05,  G8II-III          ,
2642,          , 52708,     ,         ,07 06 01.3,+59 48 07, 6.44,     ,  G8III:            ,
2643,          , 52711,     ,         ,07 03 30.4,+29 20 14, 5.93, 0.60,  G4V               ,*
2644,          , 52859, 5746,         ,07 05 39.8,+52 45 29, 6.12, 0.11,  A3V s             ,*
2645,          , 52860,     ,         ,07 05 09.0,+47 46 30, 6.38,-0.04,  B9IIIn            ,
2646, 22Sig CMa, 52877, 5719,Sig CMa  ,07 01 43.1,-27 56 05, 3.47, 1.73,  K7Ib              ,*
2647,          , 52913,     ,         ,07 03 17.9,+09 08 18, 5.97, 0.12,  A3V s             ,
2648, 19    Mon, 52918,     ,V637 Mon ,07 02 54.8,-04 14 21, 4.99,-0.20,  B1V               ,*
2649,          , 52960,     ,         ,07 03 38.0,+10 57 06, 5.13, 1.39,  K3III             ,
2650, 43Zet Gem, 52973, 5742,Zet Gem  ,07 04 06.5,+20 34 13, 3.79, 0.79,  F7-G3Ib           ,*
2651,          , 52976,     ,         ,07 03 51.6,+12 35 40, 5.98, 1.58,  K5                ,
2652,          , 53047,     ,Var?     ,07 00 51.5,-51 24 09, 5.14, 1.61,  M1III             ,*
2653, 24Omi2CMa, 53138,     ,         ,07 03 01.5,-23 50 00, 3.02,-0.08,  B3Iab             ,*
2654,          , 53205,     ,         ,07 04 20.2,+01 29 18, 6.57, 0.01,  A0V               ,
2655,          , 53208,     ,         ,07 04 05.2,-05 19 25, 5.62, 1.29,  K3III             ,
2656,          , 53240,     ,         ,07 03 57.3,-10 07 27, 6.45,-0.08,  B9IIIn            ,*
2657, 23Gam CMa, 53244,     ,         ,07 03 45.5,-15 38 00, 4.12,-0.12,  B8II              ,*
2658,          , 53253,     ,         ,07 02 15.6,-43 24 15, 6.43,-0.04,  A0V               ,
2659, 44    Gem, 53257,     ,         ,07 05 18.4,+22 38 14, 6.02,-0.03,  B8Vn              ,
2660,          , 53329,     , 3373    ,07 06 11.6,+34 28 26, 5.55, 0.91,  G8IV              ,
2661,          , 53349,     , 3349    ,07 01 05.1,-58 56 24, 6.02, 0.30,  A8III             ,*
2662,          , 53501,     ,         ,06 59 50.5,-67 54 58, 5.17, 1.40,  K3III             ,*
2663,          , 53510,     ,         ,07 05 39.1,+09 11 09, 5.78, 1.52,  M0III             ,
2664,          , 53629,     ,         ,07 04 47.1,-22 01 56, 6.09, 1.22,  K0                ,
2665,          , 53686,     ,         ,07 07 22.3,+34 00 34, 5.91, 1.51, gK4                ,
2666,          , 53704,     ,Var?     ,07 04 02.8,-42 20 14, 5.20, 0.20,  Am                ,*
2667,          , 53705,     ,         ,07 03 57.3,-43 36 29, 5.54, 0.64,  G3V               ,*
2668,          , 53706,     ,         ,07 03 58.8,-43 36 42, 6.79, 0.80,  K0V               ,*
2669,          , 53744,     ,         ,07 07 25.0,+28 10 38, 6.48,-0.09,  B9V               ,*
2670,          , 53755, 5782,V569 Mon ,07 05 49.7,-10 39 40, 6.49,-0.05,  B0.5V+F5III       ,*
2671,          , 53791,     ,R Gem    ,07 07 21.4,+22 42 13, 7.68, 2.21,  S3.9e             ,*
2672,          , 53811,     ,         ,07 03 53.7,-49 35 02, 4.93, 0.13,  A4IV              ,*
2673,          , 53899,     ,         ,07 08 13.3,+33 49 56, 6.28, 1.34,  K1                ,
2674,          , 53921,     ,         ,07 03 15.6,-59 10 41, 5.50,-0.11,  B9IV              ,
2675,          , 53925,     ,         ,07 08 36.3,+37 26 42, 6.16, 1.21,  K1III             ,
2676,          , 53929,     ,         ,07 07 06.4,+04 54 37, 6.11,-0.13,  B9.5III           ,
2677,          , 53952,     ,         ,07 05 32.0,-34 46 40, 6.14, 0.37,  F2V               ,*
2678,          , 53974, 5795,FN CMa   ,07 06 40.7,-11 17 39, 5.39, 0.05,  B0.5IV            ,*
2679,          , 53975,     ,         ,07 06 35.9,-12 23 38, 6.48,-0.10,  O7.5V             ,*
2680,          , 54031,     ,         ,07 06 00.6,-30 39 20, 6.34,-0.16,  B3V               ,
2681,          , 54070,     ,         ,07 13 58.1,+71 49 00, 6.35, 1.12,  K0                ,
2682,          , 54079,     ,         ,07 07 49.5,+07 28 16, 5.75, 1.18, gK0                ,
2683,          , 54118,     ,V386 Car ,07 04 18.3,-56 44 59, 5.17,-0.04,  A0pSi             ,*
2684, 45    Gem, 54131, 5812,         ,07 08 22.0,+15 55 51, 5.44, 1.03,  G8III             ,*
2685,          , 54153,     ,         ,07 06 02.3,-38 22 58, 6.11, 0.70,  G0IIaCH1          ,
2686,          , 54173,     ,         ,07 06 52.3,-24 57 38, 6.08, 1.34,  K2                ,
2687,          , 54179,     ,         ,07 05 16.5,-50 21 37, 6.46,     ,  K3III             ,
2688,          , 54224,     ,         ,07 07 00.1,-26 39 28, 6.62,-0.17,  B2IV-V            ,*
2689,   The Men, 54239,     ,         ,06 56 34.4,-79 25 13, 5.45, 0.05,  B9.5V             ,
2690,          , 54309,     ,FV CMa   ,07 07 22.6,-23 50 25, 5.71,-0.10,  B2IVe             ,*
2691,          , 54475,     ,Var      ,07 07 07.1,-40 53 36, 5.79,-0.17,  B3V               ,*
2692,          , 54563,     ,         ,07 10 06.7,+21 14 49, 6.43, 0.89,  G9V               ,*
2693, 25Del CMa, 54605,     , 3424    ,07 08 23.5,-26 23 36, 1.84, 0.68,  F8Ia              ,*
2694,          , 54662,     ,         ,07 09 20.3,-10 20 50, 6.21, 0.03,  O6.5V             ,*
2695,          , 54669,     ,Var?     ,07 08 49.3,-24 02 39, 6.65,-0.19,  B2V               ,*
2696, 63    Aur, 54716,     ,         ,07 11 39.3,+39 19 14, 4.90, 1.45,  K4III-IIIa        ,
2697, 46Tau Gem, 54719, 5846, 3437    ,07 11 08.4,+30 14 43, 4.41, 1.26,  K2-III            ,*
2698,          , 54732,     ,         ,07 07 13.3,-51 58 04, 5.96, 1.00,  K0III             ,
2699,          , 54764, 5837,         ,07 09 33.2,-16 14 05, 6.03, 0.06,  B1II              ,*
2700, 47    Gem, 54801,     ,         ,07 11 23.1,+26 51 24, 5.78, 0.10,  A4IV              ,*
2701, 20    Mon, 54810,     ,         ,07 10 13.7,-04 14 14, 4.92, 1.03,  K0III             ,
2702,          , 54893,     , 3431    ,07 08 51.1,-39 39 21, 4.83,-0.18,  B2IV-V            ,*
2703,          , 54895,     ,UY Lyn   ,07 13 23.4,+51 25 44, 5.47, 1.67,  M3-III            ,*
2704,          , 54912,     ,Var?     ,07 09 42.9,-25 13 52, 5.69,-0.16,  B2.5IV            ,*
2705,          , 54958,     ,         ,07 10 09.3,-18 41 07, 6.23, 0.40,  F0                ,
2706, 48    Gem, 55052,     ,         ,07 12 26.4,+24 07 42, 5.85, 0.36,  F5III-IV          ,
2707, 21    Mon, 55057,     ,V571 Mon ,07 11 23.6,-00 18 07, 5.45, 0.29,  A8Vn-F3Vn         ,*
2708,          , 55070,     ,         ,07 10 19.4,-27 29 29, 5.46, 1.00,  G8III             ,
2709,          , 55075,     ,         ,07 25 21.9,+81 15 27, 6.31,-0.04,  A0III             ,
2710,          , 55111,     ,         ,07 11 51.3,+05 39 17, 6.09,-0.02,  A1V               ,
2711,          , 55130, 5871, 3453    ,07 12 49.0,+27 13 29, 6.43, 0.49,  F8V               ,*
2712,          , 55151,     ,         ,07 06 14.1,-68 50 14, 6.47, 1.04,  K0III             ,
2713,          , 55184,     ,         ,07 12 07.4,+05 28 29, 6.16, 1.14,  K0III             ,
2714, 22Del Mon, 55185, 5864,         ,07 11 51.9,-00 29 34, 4.15,-0.01,  A2V               ,
2715, 18    Lyn, 55280,     ,         ,07 15 54.9,+59 38 15, 5.20, 1.07,  K2III             ,
2716,          , 55344,     ,         ,07 11 41.6,-20 52 59, 5.84,-0.04,  A0V               ,
2717, 51    Gem, 55383,     ,BQ Gem   ,07 13 22.3,+16 09 32, 5.00, 1.66,  M4IIIab           ,*
2718, 26    CMa, 55522,     , 3458    ,07 12 12.2,-25 56 33, 5.92,-0.17,  B2V               ,*
2719,          , 55526,     ,         ,07 10 47.5,-48 55 56, 5.14, 1.24,  K2III             ,*
2720,          , 55568,     ,         ,07 12 04.1,-30 49 18, 6.10, 0.27,  A8V               ,*
2721,          , 55575,     ,         ,07 15 50.1,+47 14 24, 5.58, 0.58,  G0V               ,
2722,          , 55579,     ,         ,07 14 26.6,+24 42 39, 6.89,-0.03,  A1pSrCr           ,
2723,          , 55589,     ,         ,07 13 07.2,-11 15 05, 5.78, 1.51,  K0                ,
2724,          , 55595,     ,HN CMa   ,07 12 24.1,-27 28 27, 6.59, 0.19,  A5IV-V            ,*
2725, 52    Gem, 55621, 5909, 3469    ,07 14 41.9,+24 53 06, 5.82, 1.56,  M1III             ,*
2726,          , 55718,     , 3464    ,07 12 25.7,-36 32 40, 5.96,-0.14,  B3V               ,*
2727,          , 55719,     ,Var?     ,07 12 15.8,-40 29 56, 5.31, 0.06,  A3pSrEuCr         ,*
2728,          , 55730,     ,         ,07 14 32.6,+12 06 57, 5.62, 1.01,  G6III             ,
2729,          , 55751,     ,         ,07 14 20.0,+03 06 41, 5.35, 1.19,  K2II              ,
2730,          , 55762,     , 3467    ,07 13 23.9,-22 40 24, 6.01, 1.48,  K2III             ,
2731,          , 55775, 5911,         ,07 14 11.0,-03 54 05, 5.75, 1.58,  K5III             ,
2732,          , 55832,     ,         ,07 14 15.5,-09 56 51, 5.90, 1.52,  K3III             ,
2733,          , 55856, 5912,         ,07 13 48.3,-22 54 23, 6.36,-0.21,  B2IV+G5IV         ,*
2734,          , 55857,     ,GY CMa   ,07 13 36.3,-27 21 23, 6.12,-0.23,  B0.5V             ,*
2735,   Gam1Vol, 55864,     ,         ,07 08 42.2,-70 29 50, 5.69, 0.40,  F2V               ,*
2736,   Gam2Vol, 55865,     , 3448    ,07 08 44.9,-70 29 56, 3.78, 1.04,  K0III             ,*
2737,          , 55866,     ,         ,07 17 33.7,+52 07 51, 5.92, 1.26, gK1                ,
2738, 53    Gem, 55870,     , 3485    ,07 15 57.1,+27 53 51, 5.71, 1.63,  M1IIIa            ,
2739,          , 55879,     ,         ,07 14 28.2,-10 19 00, 6.03,-0.18,  B0III             ,*
2740,          , 55892,     ,QW Pup   ,07 12 33.6,-46 45 34, 4.49, 0.32,  F0IV              ,*
2741,          , 55958,     ,GG CMa   ,07 13 47.1,-31 05 02, 6.60,-0.17,  B2IV              ,*
2742,          , 55966,     ,VZ Cam   ,07 31 04.4,+82 24 41, 4.96, 1.66,  M4IIIa            ,*
2743,          , 55985,     ,         ,07 13 57.2,-30 20 24, 6.33,-0.20,  B2IV-V            ,*
2744, 24    Mon, 56003, 5933,         ,07 15 19.3,-00 09 41, 6.41, 0.90,  G5III             ,
